class name,fields name,field value,field name 2,second value
DC_researchevent_institution,name,Technische Universität Darmstadt - Klassische Archäologie,,
DC_researchevent_institution,name,Katholische Universität Eichstätt - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Erlangen - Institut für Klassische Archäologie,,
DC_researchevent_institution,name,Universität Erlangen - Institut für Ur- und Frühgesichte,,
DC_researchevent_institution,name,Universität Frankfurt - Institut für Archäologische Wissenschaften - Vorderasiatische und Klassiche Archäologie,,
DC_researchevent_institution,name,"Universität Frankfurt - Institut für Archäologische Wissenschaften - Archäologie und Geschichte der römischen Provinzen sowie Archäologie von Münze, Geld und von der Wirtschaf in der Antike",,
DC_researchevent_institution,name,Universität Frankfurt - Institut für Archäologische Wissenschaften - Vor - und Frühgeschichte,,
DC_researchevent_institution,name,Albert-Ludwigs-Universität Freiburg - IAW - Urgeschichtliche Archäologie,,
DC_researchevent_institution,name,Albert-Ludwigs-Universität Freiburg - IAW - Vorderasiatische Archäologie und Altorientalische Philologie,,
DC_researchevent_institution,name,Albert-Ludwigs-Universität Freiburg - IAW - Klassische Archäologie,,
DC_researchevent_institution,name,Albert - Ludwigs - Universität Freiburg - IAW - Provinizalrömische Archäologie,,
DC_researchevent_institution,name,Albert - Ludwigs - Universität Freiburg - IAW - Christliche Archäologie und Byzantinische Kunstgeschichte,,
DC_researchevent_institution,name,Albert - Ludwigs - Universität Freiburg - IAW - Frühgeschichtliche Archäologie und Archäologie des Mittelalters,,
